NUTS,Location,Year,Election Type,PS,PSD,PCP,CDS,BE,Abstention
Município,Arruda dos Vinhos,2009,Local,36.91,52.11,8.29,2.69,0,35.8
NUTS III,Ave,2009,Local,46.45,13.86,5.83,2.39,2.92,32.6
Município,Aveiro,2009,Local,34.63,0,3.83,0,5.3,46.9
Município,Avis,2009,Local,34.88,8.97,56.15,0,0,25.3
Município,Azambuja,2009,Local,58.81,0,17.56,0,5.78,40.7
Município,Baião,2009,Local,68.56,30,1.44,0,0,27.6
NUTS III,Baixo Alentejo,2009,Local,44.51,9.23,42.05,0.87,1.35,35.3
Município,Barcelos,2009,Local,45.59,44.39,1.49,4.77,1.88,25.9
Município,Barrancos,2009,Local,35.66,0,62.45,1.89,0,22.2
Município,Barreiro,2009,Local,30.58,9.25,48.9,2.72,6.2,47.2
Município,Batalha,2009,Local,14.71,71.07,1.76,12.46,0,38.5
NUTS III,Beira Baixa,2009,Local,65.75,23.23,2.94,3.19,1.55,39.1
NUTS III,Beiras e Serra da Estrela,2009,Local,42.3,41.14,3.89,2.22,0,36
Município,Beja,2009,Local,46.67,5.09,42.53,1.62,2.99,39.3
Município,Belmonte,2009,Local,51.44,31.53,6.91,1.58,2.69,34.8
Município,Benavente,2009,Local,14.21,19,62.18,4.6,0,50.8
Município,Bombarral,2009,Local,35.58,51.39,6.58,6.45,0,42.6
Município,Borba,2009,Local,65.48,14.71,19.81,0,0,33.8
Município,Boticas,2009,Local,9.52,76.42,10.11,3.94,0,41.4
Município,Braga,2009,Local,45.73,0,6.48,0,4.11,34.7
Município,Bragança,2009,Local,28.37,49.62,1.66,2.44,1.29,41.5
Município,Cabeceiras de Basto,2009,Local,70.63,0,3.3,0,0,34.2
Município,Cadaval,2009,Local,45.79,46.12,4.95,3.15,0,35.2
Município,Caldas da Rainha,2009,Local,26.52,52.53,4.32,11.56,5.07,49.3
Município,Caminha,2009,Local,39.54,55.49,2.63,0,2.33,32.6
Município,Campo Maior,2009,Local,47.7,1.63,6.34,0,0,24
Município,Cantanhede,2009,Local,28.17,69.21,2.62,0,0,40.8
Município,Carrazeda de Ansiães,2009,Local,24.37,0,0.54,0,2.38,35
Município,Carregal do Sal,2009,Local,44.19,45.27,1.43,9.11,0,40.7
Município,Cartaxo,2009,Local,49.16,30.22,12.92,0,7.69,44.6
Município,Cascais,2009,Local,27.58,0,9.51,0,6.46,55.9
Município,Castanheira de Pêra,2009,Local,51.55,45.97,2.47,0,0,33.6
Município,Castelo Branco,2009,Local,72.08,17.51,3.51,4.03,2.87,44.1
Município,Castelo de Paiva,2009,Local,47.6,47.53,0.84,2.77,1.26,21.3
Município,Castelo de Vide,2009,Local,29.17,55.08,4.25,1.5,0,23.8
Município,Castro Daire,2009,Local,45.47,41.14,0.99,6.25,0,36.3
Município,Castro Marim,2009,Local,41.15,55.69,2.13,1.04,0,29.3
Município,Castro Verde,2009,Local,39.09,0,56.25,0,0,35.9
NUTS III,Cávado,2009,Local,41.43,26.87,3.7,5.03,2.45,32.1
Município,Celorico da Beira,2009,Local,54.71,0,0.66,0,0,30.5
Município,Celorico de Basto,2009,Local,43.57,51.96,1.16,3.32,0,29.3
NUTS II,Centro,2009,Local,39.85,35.21,5.7,3.58,2.31,40.1
Município,Chamusca,2009,Local,34.06,0,45.2,0,0,38.9
Município,Chaves,2009,Local,32.13,60.1,4.98,2.79,0,42.4
Município,Cinfães,2009,Local,62.67,27.35,3.61,6.37,0,32.4
Município,Coimbra,2009,Local,35.82,0,10.16,0,6.07,44.7
Município,Condeixa-a-Nova,2009,Local,59.06,27.81,6.55,0,6.58,40.7
Município,Constância,2009,Local,37.42,11.29,49.64,1.65,0,26.6
NUTS I,Continente,2009,Local,39.15,22.37,10.39,3.02,3.17,40.8
Município,Coruche,2009,Local,58.59,5.46,25.54,0,3.31,40.9
Município,Covilhã,2009,Local,27.86,58.87,7.75,2.89,2.62,38.3
Município,Crato,2009,Local,41.88,10.8,47.32,0,0,22.9
Município,Cuba,2009,Local,49.16,3.71,47.12,0,0,19.5
NUTS III,Douro,2009,Local,40.58,32.67,2.11,2.67,0.94,35.3
Município,Elvas,2009,Local,70.64,0,3.17,0,3.66,47.2
Município,Entroncamento,2009,Local,25.04,54.5,8.98,0,11.48,43.8
Município,Espinho,2009,Local,39.66,40.49,6.78,9.51,3.55,34.4
Município,Esposende,2009,Local,20.58,60.84,3.39,13.2,1.71,35.4
Município,Estarreja,2009,Local,29.41,0,4.49,0,0,43.7
Município,Estremoz,2009,Local,33.22,11.34,10.8,1.89,1.31,32.6
Município,Évora,2009,Local,40.59,18.18,36.01,2.31,2.91,45.5
Município,Fafe,2009,Local,52.49,0,3.21,0,0,33.8
Município,Faro,2009,Local,43.41,0,5.4,0,3.12,42.6
Município,Felgueiras,2009,Local,19.41,0,1.3,0,1.35,26.6
Município,Ferreira do Alentejo,2009,Local,57.41,3.39,37.54,0,0,34.4
Município,Ferreira do Zêzere,2009,Local,39.32,54.45,0.65,0,2.51,32.5
Município,Figueira da Foz,2009,Local,39.44,30.71,5.31,1.91,2.8,42.8
Município,Figueira de Castelo Rodrigo,2009,Local,41.84,57.25,0.91,0,0,27.3
Município,Figueiró dos Vinhos,2009,Local,41.87,56.99,1.14,0,0,26.6
Município,Fornos de Algodres,2009,Local,39.27,56.44,0.91,0,0,28
Município,Freixo de Espada à Cinta,2009,Local,57.18,0,0.82,0,0,21.1
Município,Fronteira,2009,Local,36.66,54.89,7.5,0,0,25.9
Município,Fundão,2009,Local,29.9,63.43,3.79,2.88,0,36.5
Município,Gavião,2009,Local,62.14,25.19,12.67,0,0,31
Município,Góis,2009,Local,53.53,45.32,1.15,0,0,27
Município,Golegã,2009,Local,64.71,9.51,7.96,5.57,0,36.6
Município,Gondomar,2009,Local,30.49,0,6.1,0,3.07,39
Município,Gouveia,2009,Local,41.03,53.79,3.5,1.68,0,35.3
Município,Grândola,2009,Local,57.36,5.42,33.9,1.15,2.17,34.7
Município,Guarda,2009,Local,58.39,29.65,2.81,5.39,3.02,37.3
Município,Guimarães,2009,Local,54.68,28.03,8.95,4.78,2.61,33.9
Município,Idanha-a-Nova,2009,Local,61.85,29.64,3.03,5.48,0,32.6
Município,Ílhavo,2009,Local,23.37,65.45,3.13,5.38,2.67,52.5
Município,Lagoa,2009,Local,42.94,45.95,4.31,2.44,4.36,41.6
Município,Lagos,2009,Local,62.83,0,5.95,0,4.76,42.7
Município,Lamego,2009,Local,21.78,0,2.09,0,0,33.8
Município,Leiria,2009,Local,46.76,39.21,2.54,8.01,3.49,40.6
NUTS III,Lezíria do Tejo,2009,Local,37.85,25.05,18.22,1.82,6.38,41.4
Município,Lisboa,2009,Local,45.17,0,8.28,0,4.68,46.6
Município,Loulé,2009,Local,33.6,58.72,1.98,2.72,2.99,45.5
Município,Loures,2009,Local,49.7,16.57,23.7,3.95,4.37,45.8
Município,Lourinhã,2009,Local,59.19,33.74,3.96,2.66,0,40.3
Município,Lousã,2009,Local,59,33.07,2.73,0,5.2,39.2
Município,Lousada,2009,Local,58.74,0,2.95,0,0,24.8
Município,Mação,2009,Local,44.01,53.84,2.14,0,0,23.3
Município,Macedo de Cavaleiros,2009,Local,40.49,0,3.11,0,0,40.9
Município,Mafra,2009,Local,28.72,54.31,6.21,5.99,4.77,43.9
Município,Maia,2009,Local,26.74,59.82,4.56,4.08,4.8,39.4
Município,Mangualde,2009,Local,59.8,36.64,1.12,2.44,0,33.3
Município,Manteigas,2009,Local,55.35,42.29,2.36,0,0,28.7
Município,Marco de Canaveses,2009,Local,13.21,44,1.81,0,0,27.6
Município,Marinha Grande,2009,Local,37.32,18.31,32.5,0,5.87,44.8
Município,Marvão,2009,Local,25.64,50.02,1.18,1.18,0,24.7
Município,Matosinhos,2009,Local,43.47,0,4.49,0,2.75,38.7
Município,Mealhada,2009,Local,64.02,28.85,7.12,0,0,42.7
Município,Mêda,2009,Local,54.94,43.83,1.23,0,0,31.3
NUTS III,Médio Tejo,2009,Local,40.79,35.04,7.15,3.54,3.42,38.2
Município,Melgaço,2009,Local,73.39,24.43,2.18,0,0,51.4
Município,Mértola,2009,Local,47.92,0.99,44.4,0,0,23.5
Município,Mesão Frio,2009,Local,49.93,49.71,0.36,0,0,22.4
Município,Mira,2009,Local,58.26,29.63,0.81,0,0,37.1
Município,Miranda do Corvo,2009,Local,45.12,0,2.66,0,2.32,34.9
Município,Miranda do Douro,2009,Local,54,45.2,0.8,0,0,29.3
Município,Mirandela,2009,Local,25.91,54.25,1.87,17.04,0.93,36.3
Município,Mogadouro,2009,Local,25.65,56.7,1.19,16.46,0,35.3
Município,Moimenta da Beira,2009,Local,54.3,0,0.94,0,0,37.1
Município,Moita,2009,Local,27.42,8.16,46.25,3.56,11.94,53.1
Município,Monção,2009,Local,70.65,21.58,2.17,0,0,44.3
Município,Monchique,2009,Local,46.56,48.19,3.79,1.46,0,25.6
Município,Mondim de Basto,2009,Local,39.77,28.02,0.82,30.76,0,41
Município,Monforte,2009,Local,48.29,15.16,36.55,0,0,24.1
Município,Montalegre,2009,Local,62.17,0,0.84,0,1.45,38.5
Município,Montemor-o-Novo,2009,Local,29.28,13.81,56.91,0,0,38.2
Município,Montemor-o-Velho,2009,Local,34.28,0,5.34,0,1.93,34.9
Município,Montijo,2009,Local,50.36,0,16.38,0,4.94,51.7
Município,Mora,2009,Local,17.76,16.01,63.37,0,2.85,37.8
Município,Mortágua,2009,Local,61.65,22.41,1.47,14.48,0,44.7
Município,Moura,2009,Local,38.43,8.21,51.19,2.18,0,45
Município,Mourão,2009,Local,50.73,0,9.34,0,0,26.7
Município,Murça,2009,Local,53.9,42.29,1.11,2.69,0,35.6
Município,Murtosa,2009,Local,27.85,68.24,1.66,2.25,0,47.8
Município,Nazaré,2009,Local,37.03,49.73,5.55,2.5,2.75,44
Município,Nelas,2009,Local,24.43,0,1.34,0,0,35.8
Município,Nisa,2009,Local,34.45,23.99,37.11,2.27,2.17,28.8
NUTS II,Norte,2009,Local,39.12,23.93,4.28,3.86,2.26,35.6
Município,Óbidos,2009,Local,23.57,70.68,3.93,1.82,0,40.9
Município,Odemira,2009,Local,48.49,0,35.81,0,4.49,33.8
Município,Odivelas,2009,Local,38.66,0,20.73,0,3.87,45.6
Município,Oeiras,2009,Local,26.96,0,7.65,0,4.09,46
NUTS III,Oeste,2009,Local,38.96,29.94,13.14,3.41,1.94,42
Município,Oleiros,2009,Local,18.99,79.12,1.89,0,0,37.8
Município,Olhão,2009,Local,47.78,0,9.7,0,10.28,52.6
Município,Oliveira de Azeméis,2009,Local,41.8,46.2,1.85,7.69,2.46,35.6
Município,Oliveira de Frades,2009,Local,20.11,72.72,1.82,5.35,0,26.9
Município,Oliveira do Bairro,2009,Local,11.06,55.22,1.26,32.46,0,42
Município,Oliveira do Hospital,2009,Local,37.12,32.08,0.98,0,0,25.1
Município,Ourém,2009,Local,48.73,44.58,2,4.68,0,40.1
Município,Ourique,2009,Local,69.11,26.9,3.99,0,0,18.9
Município,Ovar,2009,Local,50.72,0,5.03,0,9.74,41.2
Município,Paços de Ferreira,2009,Local,42.3,53.31,1.91,2.49,0,28.9
Município,Palmela,2009,Local,23.79,9.3,51.85,10.09,4.96,51.8
Município,Pampilhosa da Serra,2009,Local,42.47,57.18,0.36,0,0,27.7
Município,Paredes,2009,Local,27.18,59.2,3.41,8.69,1.53,26.2
Município,Paredes de Coura,2009,Local,57.47,37.5,5.03,0,0,33.3
Município,Pedrógão Grande,2009,Local,25.25,72.79,1.95,0,0,36.4
Município,Penacova,2009,Local,52.14,40.36,5.63,1.87,0,37
Município,Penafiel,2009,Local,30.25,0,3.05,0,1.35,22.9
Município,Penalva do Castelo,2009,Local,40.09,0,3.19,0,0,33.9
Município,Penamacor,2009,Local,56.14,0,2.97,0,0,31.5
Município,Penedono,2009,Local,33.55,48.24,0.92,11.46,5.82,39.1
Município,Penela,2009,Local,33.58,64.89,1.53,0,0,32.1
Município,Peniche,2009,Local,19.84,30.05,45.64,2.53,1.95,46.5
Município,Peso da Régua,2009,Local,25.7,68.33,2.73,3.24,0,37.9
Município,Pinhel,2009,Local,31.91,62.18,2.36,3.55,0,35.7
Município,Pombal,2009,Local,27.73,68.54,1.81,0,1.92,50.2
Município,Ponte da Barca,2009,Local,51.72,47,1.28,0,0,33.7
Município,Ponte de Lima,2009,Local,10.6,20.25,2.97,66.19,0,32.7
Município,Ponte de Sor,2009,Local,59.84,0,24.76,0,0,36.5
Município,Portalegre,2009,Local,38.54,43.19,12.9,3.35,2.02,35.9
Município,Portel,2009,Local,67.02,0,31.92,1.06,0,26.1
Município,Portimão,2009,Local,57.11,25.86,6.1,4.44,6.49,45.8
Município,Porto,2009,Local,35.53,0,10.04,0,5.1,43.2
Município,Porto de Mós,2009,Local,61.05,33.84,2.47,2.63,0,36
Município,Póvoa de Lanhoso,2009,Local,43.85,54.14,0.84,1.17,0,32.1
Município,Póvoa de Varzim,2009,Local,35.21,47.65,4.3,10.25,2.59,43.5
Município,Proença-a-Nova,2009,Local,78.99,18.72,0.67,1.62,0,30.5
Município,Redondo,2009,Local,25.96,9.15,9.57,0,0,37.8
NUTS III,Região de Aveiro,2009,Local,33.2,29.81,3.27,6.7,2.99,43.3
NUTS III,Região de Coimbra,2009,Local,41.85,24.21,5.81,0.75,2.8,39.9
NUTS III,Região de Leiria,2009,Local,40.03,46.06,5.73,5,2.49,41.7
Município,Reguengos de Monsaraz,2009,Local,66.68,0,20.02,0,0,41.3
Município,Resende,2009,Local,70.7,27.12,2.18,0,0,28.1
Município,Ribeira de Pena,2009,Local,34.93,0,1.12,0,0,38.5
Município,Rio Maior,2009,Local,40.52,0,2.53,0,2.98,33.8
Município,Sabrosa,2009,Local,69.32,0,1.22,0,2.84,33.8
Município,Sabugal,2009,Local,37.33,40.38,1.02,2.26,0,40.4
Município,Salvaterra de Magos,2009,Local,29.78,11.83,10.69,0,47.69,45.2
Município,Santa Comba Dão,2009,Local,44.41,51.35,0.83,1.93,1.48,34.2
Município,Santa Maria da Feira,2009,Local,41.75,49.4,2.59,3.6,2.66,35
Município,Santa Marta de Penaguião,2009,Local,66.79,29.33,1.34,2.55,0,37.6
Município,Santarém,2009,Local,21.81,66.11,5.89,3.68,2.51,38.3
Município,Santiago do Cacém,2009,Local,28.92,11.29,50.64,2.96,6.19,42.7
Município,Santo Tirso,2009,Local,48.78,42.57,4.05,4.6,0,29.9
Município,São Brás de Alportel,2009,Local,75.55,15.97,6.37,2.1,0,44.5
Município,São João da Madeira,2009,Local,26.96,57.14,5.89,7.3,2.72,41.7
Município,São João da Pesqueira,2009,Local,32.21,65.93,1.86,0,0,39.3
Município,São Pedro do Sul,2009,Local,27.72,61.12,1.85,0,9.31,34.7
Município,Sardoal,2009,Local,40.48,57.34,2.18,0,0,23.9
Município,Sátão,2009,Local,41.84,48.7,0.68,8.78,0,40.3
Município,Seia,2009,Local,54.2,0,5.87,0,0,37.3
Município,Seixal,2009,Local,23.15,14.28,49.43,5.4,7.14,53.9
Município,Sernancelhe,2009,Local,37.06,57.81,0.52,4.61,0,33.8
Município,Serpa,2009,Local,32.38,8.88,53.74,1.4,3.6,42.8
Município,Sertã,2009,Local,37.34,52.45,0.64,7.9,1.67,31.5
Município,Sesimbra,2009,Local,20.15,10.72,53.57,3.82,6.4,49.9
Município,Setúbal,2009,Local,30.68,14.9,39.96,5.98,6.27,52.4
Município,Sever do Vouga,2009,Local,47.79,20.68,1.4,3.81,0,30.4
Município,Silves,2009,Local,33.22,41.19,19.45,0,6.13,42.8
Município,Sines,2009,Local,31.4,3.43,15.29,0,5,35.3
Município,Sintra,2009,Local,34.75,0,11.44,0,6.07,52.1
Município,Sobral de Monte Agraço,2009,Local,18.36,0,56.66,0,0,41.3
Município,Soure,2009,Local,56.03,26.9,10.76,2.08,4.22,39.5
Município,Sousel,2009,Local,38.1,52,9.89,0,0,24.2
Município,Tábua,2009,Local,58.32,0,3.65,0,0,29.8
Município,Tabuaço,2009,Local,49.03,46.43,0.46,4.08,0,30.5
NUTS III,Tâmega e Sousa,2009,Local,39.49,25.73,2.13,1.17,0.75,27.7
Município,Tarouca,2009,Local,53.01,40.55,1.71,4.72,0,38.9
Município,Tavira,2009,Local,47.6,43.8,2.93,2.68,2.98,36.9
Município,Terras de Bouro,2009,Local,51.92,42.65,1.75,3.69,0,30.5
NUTS III,Terras de Trás-os-Montes,2009,Local,38.85,38.21,1.96,6.22,0.51,37.5
Município,Tomar,2009,Local,21.91,36.66,7.68,5.57,3.82,41.2
Município,Tondela,2009,Local,18.74,73.14,3.47,4.66,0,40.9
Município,Torre de Moncorvo,2009,Local,50.39,0,1.75,0,0,34.1
Município,Torres Novas,2009,Local,55.58,21.59,13.43,3.37,6.04,41
Município,Torres Vedras,2009,Local,62.7,0,7.67,0,0,40.9
Município,Trancoso,2009,Local,46.76,52.15,1.1,0,0,34.7
Município,Trofa,2009,Local,47.29,44.43,2.41,5.87,0,27.2
Município,Vagos,2009,Local,0,65.61,2.33,0,0,42.7
Município,Vale de Cambra,2009,Local,11.12,47.74,2.26,38.87,0,33.7
Município,Valença,2009,Local,42.15,45.12,3.34,9.39,0,36.8
Município,Valongo,2009,Local,28.12,0,4.79,0,2.82,39
Município,Valpaços,2009,Local,24.42,67.59,1.39,6.6,0,45.3
Município,Vendas Novas,2009,Local,31.19,14.95,53.85,0,0,42.4
Município,Viana do Alentejo,2009,Local,53.44,5.82,39.24,0,1.51,31.4
Município,Viana do Castelo,2009,Local,51.93,0,6.84,0,4.91,40.9
Município,Vidigueira,2009,Local,35.29,5.03,57.07,1.29,1.32,32.6
Município,Vieira do Minho,2009,Local,48.98,0,0.97,0,1.33,30.6
Município,Vila de Rei,2009,Local,19.84,64.84,4.57,10.75,0,27.6
Município,Vila do Bispo,2009,Local,40.43,36.89,1.9,0,0,28.6
Município,Vila do Conde,2009,Local,63.52,0,3.21,0,4.23,36
Município,Vila Flor,2009,Local,59.8,29.53,6.46,4.21,0,36.5
Município,Vila Franca de Xira,2009,Local,45.32,0,24.61,0,6.01,47.8
Município,Vila Nova da Barquinha,2009,Local,60.9,0,15.19,0,0,40
Município,Vila Nova de Cerveira,2009,Local,69.9,28.13,1.97,0,0,30
Município,Vila Nova de Famalicão,2009,Local,30.83,0,6.02,0,5.82,30.2
Município,Vila Nova de Foz Côa,2009,Local,47.58,49.84,1.43,1.16,0,31.3
Município,Vila Nova de Gaia,2009,Local,25.97,0,6.46,0,3.32,40.3
Município,Vila Nova de Paiva,2009,Local,44.51,33.79,2.67,19.03,0,45
Município,Vila Nova de Poiares,2009,Local,37.72,59.01,3.27,0,0,39.4
Município,Vila Pouca de Aguiar,2009,Local,36.77,54.76,1.53,6.94,0,41.2
Município,Vila Real,2009,Local,35.76,52.72,2.58,5.93,3.02,37.7
Município,Vila Real de Santo António,2009,Local,17.1,72.38,7.52,1.11,1.89,36.1
Município,Vila Velha de Ródão,2009,Local,62.53,32.78,3.21,1.48,0,23
Município,Vila Verde,2009,Local,33.61,47.46,1.88,17.05,0,34.3
Município,Vila Viçosa,2009,Local,47.65,9.71,40.48,2.17,0,30.7
Município,Vimioso,2009,Local,39.45,59.87,0.68,0,0,36.6
Município,Vinhais,2009,Local,71.07,21.13,1.31,6.49,0,36.8
Município,Viseu,2009,Local,26.99,63.7,1.57,5.38,2.36,43.5
NUTS III,Viseu Dão Lafões,2009,Local,33.72,52,1.7,4.66,1.47,38.7
Município,Vizela,2009,Local,50.11,0,3.4,0,3.44,30.7
Município,Vouzela,2009,Local,41.77,52.66,1.65,3.91,0,29.4
Município,Abrantes,2009,Parliament,40.28,23.08,8.52,12.12,11.78,38.7
Município,Águeda,2009,Parliament,38.02,34.40,3.36,15.23,9.4,40.7
Município,Aguiar da Beira,2009,Parliament,26.88,47.13,1.12,13.88,7.17,44.8
Município,Alandroal,2009,Parliament,38.97,13.28,30.03,6.58,11.42,33.5
Município,Albergaria-a-Velha,2009,Parliament,29.42,36.28,3.35,13.77,8.09,41.2
Município,Albufeira,2009,Parliament,30.89,30.18,6.95,11.11,15.96,46.2
Município,Alcácer do Sal,2009,Parliament,35.39,10.97,31.72,6.57,13.68,39.7
Município,Alcanena,2009,Parliament,33.86,29.81,9.10,10,14.25,36
Município,Alcobaça,2009,Parliament,32.35,37.45,5.18,11.32,10.29,37.4
Município,Alcochete,2009,Parliament,36.03,17.77,20.26,11.02,12.1,36.1
Município,Alcoutim,2009,Parliament,41.61,36.23,6.49,11.75,15.56,38
Município,Alenquer,2009,Parliament,41.99,20.52,13.90,12.08,9.24,36.3
NUTS II,Alentejo,2009,Parliament,36.57,20.11,19.94,8.89,13.39,39.5
NUTS III,Alentejo Central,2009,Parliament,35.96,19.50,22.93,7.18,6.56,38.1
NUTS III,Alentejo Litoral,2009,Parliament,34.55,15.66,25.39,8.05,11.76,39.1
Município,Alfândega da Fé,2009,Parliament,42.42,42.19,1.72,13.3,6.51,35.9
NUTS II,Algarve,2009,Parliament,33.08,27.16,8.05,8.63,12.72,42.7
NUTS III,Algarve,2009,Parliament,33.08,27.16,8.05,11.11,15.96,42.7
Município,Alijó,2009,Parliament,44.58,37.15,2.89,12.3,6.25,44.4
Município,Aljezur,2009,Parliament,37.20,19.00,14.33,6.54,5.7,37.1
Município,Aljustrel,2009,Parliament,34.27,7.01,42.90,5.71,9.95,37
Município,Almada,2009,Parliament,36.79,19.21,17.96,9.66,13.25,39.1
Município,Almeida,2009,Parliament,33.26,39.60,3.06,9.97,8.85,42.7
Município,Almeirim,2009,Parliament,39.92,20.60,11.89,10.93,12.57,42.8
Município,Almodôvar,2009,Parliament,37.55,25.61,13.32,3.66,9.77,41.2
Município,Alpiarça,2009,Parliament,31.53,11.16,37.78,11.33,12.52,36
Município,Alter do Chão,2009,Parliament,34.11,27.81,15.54,8.22,11.06,38.2
NUTS III,Alto Alentejo,2009,Parliament,39.38,24.52,13.24,12.51,11.49,39.1
NUTS III,Alto Minho,2009,Parliament,37.32,32.24,4.32,10.45,8.55,44.7
NUTS III,Alto Tâmega,2009,Parliament,34.56,47.56,2.43,9.32,10.88,49.2
Município,Alvaiázere,2009,Parliament,20.70,56.25,1.21,13.52,9.78,40.4
Município,Alvito,2009,Parliament,32.53,19.09,28.12,5.32,14.41,35
Município,Amadora,2009,Parliament,40.27,21.61,12.15,9.4,13.58,39.4
Município,Amarante,2009,Parliament,46.75,33.81,2.97,9.41,6.19,42.6
Município,Amares,2009,Parliament,37.50,32.47,3.12,11.22,8.61,41.8
Município,Anadia,2009,Parliament,27.25,45.65,3.46,20.69,7.94,42.6
Município,Ansião,2009,Parliament,29.75,49.43,1.78,15.59,3.48,38.4
Município,Arcos de Valdevez,2009,Parliament,37.63,42.11,1.90,14,8.8,56.8
NUTS II,Área Metropolitana de Lisboa,2009,Parliament,36.89,23.49,12.95,12.89,6.38,38.7
NUTS III,Área Metropolitana de Lisboa,2009,Parliament,36.89,23.49,12.95,11.02,12.1,38.7
NUTS III,Área Metropolitana do Porto,2009,Parliament,41.40,30.07,5.95,5.53,9.15,34.8
Município,Arganil,2009,Parliament,39.63,42.05,2.98,9.06,11.1,37.5
Município,Armamar,2009,Parliament,29.18,40.48,6.53,8.72,4.94,44.9
Município,Arouca,2009,Parliament,30.35,38.46,2.08,10.07,10.01,38.5
Município,Arraiolos,2009,Parliament,29.87,13.79,37.19,3.62,9.8,33.9
Município,Arronches,2009,Parliament,39.39,32.98,7.88,10.87,7.75,32.9
Município,Arruda dos Vinhos,2009,Parliament,40.57,26.42,9.49,8.61,11.38,35.7
NUTS III,Ave,2009,Parliament,47.49,28.58,4.88,15.06,5.73,34.8
Município,Aveiro,2009,Parliament,29.98,34.49,4.16,13.43,7.64,40.1
Município,Avis,2009,Parliament,25.95,14.42,43.91,6.46,9.45,30.4
Município,Azambuja,2009,Parliament,39.61,18.84,14.92,5.99,9.99,38
Município,Baião,2009,Parliament,54.06,28.65,2.45,7.33,7.09,39.9
NUTS III,Baixo Alentejo,2009,Parliament,35.67,15.02,30.86,6.43,17.71,40.8
Município,Barcelos,2009,Parliament,37.68,38.01,2.96,13.62,8.05,31.8
Município,Barrancos,2009,Parliament,38.06,10.65,34.30,7.71,8.37,38.9
Município,Barreiro,2009,Parliament,36.85,11.64,27.78,10.6,11.82,36.4
Município,Batalha,2009,Parliament,24.90,42.91,1.92,11.46,4.83,35.8
NUTS III,Beira Baixa,2009,Parliament,40.86,33.25,4.10,13.78,6.65,39.1
NUTS III,Beiras e Serra da Estrela,2009,Parliament,40.85,32.15,4.83,10.77,14.57,41.1
Município,Beja,2009,Parliament,32.79,17.05,28.66,9.68,5.48,39.3
Município,Belmonte,2009,Parliament,45.56,26.34,6.80,13.21,7.37,41.5
Município,Benavente,2009,Parliament,33.34,20.09,17.88,8.28,14.62,44.5
Município,Bombarral,2009,Parliament,32.39,30.48,8.15,9.04,10.64,43.9
Município,Borba,2009,Parliament,49.35,15.52,14.26,5.13,10.39,35.6
Município,Boticas,2009,Parliament,26.34,61.17,2.39,9.23,4.5,47.7
Município,Braga,2009,Parliament,40.14,29.70,6.88,10.98,7.11,32.9
Município,Bragança,2009,Parliament,33.96,40.27,3.23,8.05,3.68,48.1
Município,Cabeceiras de Basto,2009,Parliament,51.34,32.96,2.30,8.78,7.57,41.2
Município,Cadaval,2009,Parliament,40.89,33.07,5.25,16.84,8.65,39.3
Município,Caldas da Rainha,2009,Parliament,31.43,34.99,4.85,10.2,7.71,42.9
Município,Caminha,2009,Parliament,40.45,32.04,5.12,9.49,5.01,40.7
Município,Campo Maior,2009,Parliament,46.75,14.07,19.70,3.87,8.53,41.3
Município,Cantanhede,2009,Parliament,31.92,43.94,2.67,6.78,5.56,43.8
Município,Carrazeda de Ansiães,2009,Parliament,33.84,41.02,2.02,16.36,4.85,45.2
Município,Carregal do Sal,2009,Parliament,33.66,39.83,2.08,17.89,4.11,46.6
Município,Cartaxo,2009,Parliament,39.92,21.56,10.53,10.99,12.95,39.3
Município,Cascais,2009,Parliament,33.31,31.64,6.93,6.99,13.8,40.1
Município,Castanheira de Pêra,2009,Parliament,49.56,28.99,4.02,18.02,8.71,41.8
Município,Castelo Branco,2009,Parliament,40.60,29.72,5.06,8.95,9.43,39.6
Município,Castelo de Paiva,2009,Parliament,45.60,34.06,2.45,8.6,4.31,34.7
Município,Castelo de Vide,2009,Parliament,38.49,29.88,6.91,4.28,12.53,32
Município,Castro Daire,2009,Parliament,37.60,39.91,2.14,16.62,6.28,46.2
Município,Castro Marim,2009,Parliament,37.99,30.74,5.48,8.27,14.48,38.5
Município,Castro Verde,2009,Parliament,34.21,11.31,33.35,7.15,11.97,40.7
NUTS III,Cávado,2009,Parliament,37.63,34.48,4.69,7.67,7.88,34.8
Município,Celorico da Beira,2009,Parliament,39.41,34.85,2.36,6.83,10.09,39.6
Município,Celorico de Basto,2009,Parliament,38.53,40.32,1.91,9.57,6.59,40.3
NUTS II,Centro,2009,Parliament,35.39,34.69,5.21,13.46,4.84,40.7
Município,Chamusca,2009,Parliament,38.65,17.12,18.67,10.03,13.96,42.5
Município,Chaves,2009,Parliament,33.50,46.57,2.98,5.76,2.47,47.1
Município,Cinfães,2009,Parliament,48.89,28.69,3.11,12.65,4.12,43.9
Município,Coimbra,2009,Parliament,37.05,28.27,8.80,10.9,8.27,37.3
Município,Condeixa-a-Nova,2009,Parliament,42.67,25.18,7.13,9.03,14.07,39.6
Município,Constância,2009,Parliament,40.84,17.69,15.37,12.06,11.49,33.3
NUTS I,Continente,2009,Parliament,38.10,29.39,8.34,10.77,10.13,38.9
Município,Coruche,2009,Parliament,37.37,16.63,21.80,9.18,12.06,40.8
Município,Covilhã,2009,Parliament,49.81,21.60,8.73,11.08,8.8,39.3
