NUTS,Location,Year,Fires,Firefighters,Tourism
Município,Idanha-a-Nova,2017,54,97,26.3
Município,Oleiros,2017,22,91,9
Município,Penamacor,2017,23,63,5.7
Município,Proença-a-Nova,2017,23,56,15.7
Município,Vila Velha de Ródão,2017,49,43,6.1
NUTS III,Médio Tejo,2017,686,1125,62.9
Município,Abrantes,2017,100,50,5.6
Município,Alcanena,2017,49,86,32.7
Município,Constância,2017,10,62,21.2
Município,Entroncamento,2017,10,45,-
Município,Ferreira do Zêzere,2017,38,47,10.9
Município,Mação,2017,32,48,-
Município,Ourém,2017,96,307,69.6
Município,Sardoal,2017,24,63,-
Município,Sertã,2017,73,156,14.3
Município,Tomar,2017,162,74,48.7
Município,Torres Novas,2017,60,95,29.9
Município,Vila de Rei,2017,13,41,2.6
Município,Vila Nova da Barquinha,2017,19,51,0
NUTS III,Beiras e Serra da Estrela,2017,776,1218,15.1
Município,Almeida,2017,23,36,25
Município,Belmonte,2017,19,40,46.4
Município,Celorico da Beira,2017,48,55,10.6
Município,Covilhã,2017,115,74,14.7
Município,Figueira de Castelo Rodrigo,2017,46,28,5.4
Município,Fornos de Algodres,2017,10,49,4
Município,Fundão,2017,73,100,6.3
Município,Gouveia,2017,56,146,13
Município,Guarda,2017,69,167,18.1
Município,Manteigas,2017,3,59,23.9
Município,Mêda,2017,63,45,0
Município,Pinhel,2017,51,53,0
Município,Sabugal,2017,67,88,0.7
Município,Seia,2017,68,148,11.8
Município,Trancoso,2017,65,130,14
NUTS II,Área Metropolitana de Lisboa,2017,1234,4752,72.3
NUTS III,Área Metropolitana de Lisboa,2017,1234,4752,72.3
Município,Alcochete,2017,19,61,32.9
Município,Almada,2017,93,236,66.2
Município,Amadora,2017,33,88,29.9
Município,Barreiro,2017,42,146,-
Município,Cascais,2017,70,372,73.7
Município,Lisboa,2017,30,963,77.9
Município,Loures,2017,59,361,55
Município,Mafra,2017,93,201,57.2
Município,Moita,2017,73,56,-
Município,Montijo,2017,67,82,28
Município,Odivelas,2017,14,235,-
Município,Oeiras,2017,43,353,52.8
Município,Palmela,2017,109,200,49.2
Município,Seixal,2017,101,149,44
Município,Sesimbra,2017,20,147,49
Município,Setúbal,2017,79,265,38.7
Município,Sintra,2017,249,543,54.5
Município,Vila Franca de Xira,2017,40,294,-
NUTS II,Alentejo,2017,1607,2832,34.3
NUTS III,Alentejo Litoral,2017,172,353,28.3
Município,Alcácer do Sal,2017,39,61,29.6
Município,Grândola,2017,32,54,22.5
Município,Odemira,2017,56,89,36.9
Município,Santiago do Cacém,2017,26,124,23.1
Município,Sines,2017,19,25,37.2
NUTS III,Baixo Alentejo,2017,300,531,20.6
Município,Aljustrel,2017,27,38,20.4
Município,Almodôvar,2017,15,47,1
Município,Alvito,2017,3,28,27.9
Município,Barrancos,2017,2,26,-
Município,Beja,2017,64,82,25.9
Município,Castro Verde,2017,15,36,21.4
Município,Cuba,2017,12,27,-
Município,Ferreira do Alentejo,2017,24,44,19.6
Município,Mértola,2017,19,34,27.7
Município,Moura,2017,39,56,14.5
Município,Ourique,2017,10,44,11.9
Município,Serpa,2017,29,40,0.3
Município,Vidigueira,2017,41,29,0.1
NUTS III,Lezíria do Tejo,2017,506,727,28.7
Município,Almeirim,2017,32,46,20
Município,Alpiarça,2017,14,31,-
Município,Azambuja,2017,73,81,22.9
Município,Benavente,2017,49,108,18.6
Município,Cartaxo,2017,31,65,62.8
Município,Chamusca,2017,29,43,-
Município,Coruche,2017,55,50,7
Município,Golegã,2017,8,37,30.4
Município,Rio Maior,2017,33,39,9.9
Município,Salvaterra de Magos,2017,84,36,-
Município,Santarém,2017,98,191,39.2
NUTS III,Alto Alentejo,2017,344,680,23.4
Município,Alter do Chão,2017,11,31,6.3
Município,Arronches,2017,14,22,10.9
Município,Avis,2017,12,29,18.1
Município,Campo Maior,2017,51,38,-
Município,Castelo de Vide,2017,8,44,24.8
Município,Crato,2017,9,28,44
Município,Elvas,2017,76,60,30
Município,Fronteira,2017,15,25,-
Município,Gavião,2017,17,59,9.2
Município,Marvão,2017,11,30,48.3
Município,Monforte,2017,10,34,-
Município,Nisa,2017,25,38,14.2
Município,Ponte de Sor,2017,45,97,5.8
Município,Portalegre,2017,32,95,20.3
Município,Sousel,2017,8,50,35.6
NUTS III,Alentejo Central,2017,285,541,47.2
Município,Alandroal,2017,10,22,0.4
Município,Arraiolos,2017,19,55,42.6
Município,Borba,2017,15,43,0
Município,Estremoz,2017,25,44,37.1
Município,Évora,2017,62,56,51.2
Município,Montemor-o-Novo,2017,24,61,35.2
Município,Mora,2017,17,32,5.9
Município,Mourão,2017,7,21,-
Município,Portel,2017,15,29,8.7
Município,Redondo,2017,12,21,9.7
Município,Reguengos de Monsaraz,2017,33,52,25.6
Município,Vendas Novas,2017,23,42,35.4
Município,Viana do Alentejo,2017,17,27,-
Município,Vila Viçosa,2017,6,36,31.9
NUTS II,Algarve,2017,394,1068,72.5
NUTS III,Algarve,2017,394,1068,72.5
Município,Albufeira,2017,26,75,76
Município,Alcoutim,2017,3,38,72
Município,Aljezur,2017,19,61,67.2
Município,Castro Marim,2017,11,0,54.4
Município,Faro,2017,42,92,70.3
Município,Lagoa,2017,16,88,80.2
Município,Lagos,2017,20,68,83.8
Município,Loulé,2017,53,89,68
Município,Monchique,2017,17,52,58.8
Município,Olhão,2017,30,98,63.8
Município,Portimão,2017,27,92,70.8
Município,São Brás de Alportel,2017,16,58,74.8
Município,Silves,2017,56,111,72.5
Município,Tavira,2017,38,51,66.1
Município,Vila do Bispo,2017,5,35,83.2
Município,Vila Real de Santo António,2017,15,60,50.6
